card_name,card_id,content_index,image_url,markdown,is_correct
,602a81f6-6cba-4511-b66e-60771e9cfad4,44,,Arrays are mutable and can be changed by other parts of the code,true
,613d26d2-17e0-47fc-80ab-343ac8326c4d,30,,What is problematic about logging to the console in a pure function?,
,613d26d2-17e0-47fc-80ab-343ac8326c4d,41,,It creates a side effect not related to the function's output,true
,613d26d2-17e0-47fc-80ab-343ac8326c4d,42,,It prevents code reusability,false
,613d26d2-17e0-47fc-80ab-343ac8326c4d,43,,It slows down function performance,false
,613d26d2-17e0-47fc-80ab-343ac8326c4d,44,,It requires additional memory,false
,71960404-48af-4250-a409-6e5b52f69600,30,,What is the fundamental unit of functional programming?,
,71960404-48af-4250-a409-6e5b52f69600,41,,A pure function,true
,71960404-48af-4250-a409-6e5b52f69600,42,,A variable,false
,71960404-48af-4250-a409-6e5b52f69600,43,,A method,false
,71960404-48af-4250-a409-6e5b52f69600,44,,An object,false
,720330c1-7c71-4787-8ad7-e76edd8e14be,30,,"According to functional programming principles, what should a function do?",
,720330c1-7c71-4787-8ad7-e76edd8e14be,41,,Modify global state,false
,720330c1-7c71-4787-8ad7-e76edd8e14be,42,,Make network requests,false
,720330c1-7c71-4787-8ad7-e76edd8e14be,43,,Interact with browser APIs,false
,720330c1-7c71-4787-8ad7-e76edd8e14be,44,,Transform inputs to outputs without side effects,true
,87a386da-ba65-45e8-98f6-ab9833c0d7ad,30,,Which programming paradigm does functional programming belong to?,
,87a386da-ba65-45e8-98f6-ab9833c0d7ad,41,,Procedural programming,false
,87a386da-ba65-45e8-98f6-ab9833c0d7ad,42,,Object-oriented programming,false
,87a386da-ba65-45e8-98f6-ab9833c0d7ad,43,,Imperative programming,false
,87a386da-ba65-45e8-98f6-ab9833c0d7ad,44,,Declarative programming,true
,a64232b0-c135-4fa5-9999-351565b63509,30,,What are the two essential components every recursive function must have?,
,a64232b0-c135-4fa5-9999-351565b63509,41,,An input array and an output value,false
,a64232b0-c135-4fa5-9999-351565b63509,42,,A conditional statement and a function call,false
,a64232b0-c135-4fa5-9999-351565b63509,43,,A loop and a return statement,false
,a64232b0-c135-4fa5-9999-351565b63509,44,,A recursive case and a base case,true
,a92e2ccf-f6b3-4ca5-ab35-c2153bdc37ce,30,,What are some examples of declarative programming languages mentioned?,
,a92e2ccf-f6b3-4ca5-ab35-c2153bdc37ce,41,,JavaScript and TypeScript,false
,a92e2ccf-f6b3-4ca5-ab35-c2153bdc37ce,42,,Python and Ruby,false
,a92e2ccf-f6b3-4ca5-ab35-c2153bdc37ce,43,,HTML and SQL,true
,a92e2ccf-f6b3-4ca5-ab35-c2153bdc37ce,44,,Java and C++,false
,aa2c9931-45e3-4a05-86c6-0886df3d9391,30,,"In a recursive approach to summing an array, how does the function typically break down the problem?",
,aa2c9931-45e3-4a05-86c6-0886df3d9391,41,,By calculating a running total,false
,aa2c9931-45e3-4a05-86c6-0886df3d9391,42,,By sorting the array first,false
,aa2c9931-45e3-4a05-86c6-0886df3d9391,43,,By using a for loop to iterate,false
,aa2c9931-45e3-4a05-86c6-0886df3d9391,44,,By pulling out the first element and recursively processing the remaining array,true
,c9321bfc-51fa-4b43-ae1a-f55ba2b3103c,30,,"In functional programming, how do developers typically perform iterations instead of using loops?",
,c9321bfc-51fa-4b43-ae1a-f55ba2b3103c,41,,Using imperative loops,false
,c9321bfc-51fa-4b43-ae1a-f55ba2b3103c,42,,Using recursion,true
,c9321bfc-51fa-4b43-ae1a-f55ba2b3103c,43,,Using array methods,false
,c9321bfc-51fa-4b43-ae1a-f55ba2b3103c,44,,Using state variables,false
,cc8a3438-7950-43c8-ba0a-8bec6499cb62,30,,What is functional programming primarily concerned with in terms of program structure?,
,cc8a3438-7950-43c8-ba0a-8bec6499cb62,41,,Writing step-by-step commands,false
,cc8a3438-7950-43c8-ba0a-8bec6499cb62,42,,Managing complex state mutations,false
,cc8a3438-7950-43c8-ba0a-8bec6499cb62,43,,Transforming input into output using functions,true
,cc8a3438-7950-43c8-ba0a-8bec6499cb62,44,,Creating objects with methods,false
,dae5d92a-5d64-4ae9-8400-130c46bd704b,30,,What is the primary characteristic of a pure function in functional programming?,
,dae5d92a-5d64-4ae9-8400-130c46bd704b,41,,It always produces side effects,false
,dae5d92a-5d64-4ae9-8400-130c46bd704b,42,,It returns the same output for the same input,true
,dae5d92a-5d64-4ae9-8400-130c46bd704b,43,,It requires external library dependencies,false
,dae5d92a-5d64-4ae9-8400-130c46bd704b,44,,It can modify global state,false
,ec0665a0-309d-43dc-a49b-0bc0faed53ad,30,,What is the key characteristic of a pure function?,
,ec0665a0-309d-43dc-a49b-0bc0faed53ad,41,,It allows interaction with external systems,false
,ec0665a0-309d-43dc-a49b-0bc0faed53ad,42,,It only uses its input arguments to compute a result,true
,ec0665a0-309d-43dc-a49b-0bc0faed53ad,43,,It can log output to the console,false
,ec0665a0-309d-43dc-a49b-0bc0faed53ad,44,,It can modify global variables freel,false
,eef619b0-108f-44ef-b151-787bf78dd433,30,,What do functional programmers consider problematic about state in programs?,
,eef619b0-108f-44ef-b151-787bf78dd433,41,,State increases memory usage,false
,eef619b0-108f-44ef-b151-787bf78dd433,42,,State reduces performance,false
,eef619b0-108f-44ef-b151-787bf78dd433,43,,State makes program execution unpredictable,true
,eef619b0-108f-44ef-b151-787bf78dd433,44,,State makes code harder to read,false
,f0f17875-315a-4ecb-99ac-af9a274b1105,30,,What makes a function impure in functional programming?,
,f0f17875-315a-4ecb-99ac-af9a274b1105,41,,Accessing variables from an outer scope,true
,f0f17875-315a-4ecb-99ac-af9a274b1105,42,,Returning a value,false
,f0f17875-315a-4ecb-99ac-af9a274b1105,43,,Using multiple input parameters,false
,f0f17875-315a-4ecb-99ac-af9a274b1105,44,,Having a single line of code,false
,f4930c61-bdf0-47d4-ac27-af64752e18b3,30,,How can an impure function be made pure?,
,f4930c61-bdf0-47d4-ac27-af64752e18b3,41,,Reduce the number of lines of code,false
,f4930c61-bdf0-47d4-ac27-af64752e18b3,42,,Use input arguments instead of external variables and return a value,true
,f4930c61-bdf0-47d4-ac27-af64752e18b3,43,,Remove all console logs,false
,f4930c61-bdf0-47d4-ac27-af64752e18b3,44,,Make the function static,false
