id,title,note_format,swappable_sides,content_position,content_sub_position,content_type,markdown_content,file_url,is_correct
2,Arrays 02 (Q14),multiple_choice,,2,4,text,"<code class=""language-javascript"">roadTypes[2]</code>",,1
2,Arrays 02 (Q14),multiple_choice,,3,1,text,"<p class=""subtitle"">Resource(s):</p>

<ul>
        <li>
          <a href=""https://www.digitalocean.com/community/tutorials/understanding-arrays-in-javascript"" target=""_blank"" rel=""noopener noreferrer"">
            Arrays</a>.
        </li>
</ul>",,
3,Arrays 03 (Q22),multiple_choice,,1,1,text,"<pre><code class=""language-javascript"">const a = ['dog', 'cat', 'hen'];
a[100] = 'fox';
console.log(a.length);</code></pre>

<p>
        What does the previous code print to the screen?
</p>",,
3,Arrays 03 (Q22),multiple_choice,,2,1,text,"<code class=""language-javascript"">101</code>",,1
3,Arrays 03 (Q22),multiple_choice,,2,2,text,"<code class=""language-javascript"">3</code>",,
3,Arrays 03 (Q22),multiple_choice,,2,3,text,"<code class=""language-javascript"">4</code>",,
3,Arrays 03 (Q22),multiple_choice,,2,4,text,"<code class=""language-javascript"">100</code>",,
3,Arrays 03 (Q22),multiple_choice,,3,1,text,"<p class=""subtitle"">Resource(s):</p>

<ul>
        <li>
          <a href=""https://www.rajeevedmonds.com/blog/dense-sparse-arrays/"" target=""_blank"" rel=""noopener noreferrer"">
            Dense and sparse arrays</a>.
        </li>
</ul>",,
4,Arrays 04 (Q83),multiple_choice,,1,1,text,"<pre><code class=""language-javascript"">const foo = [1, 2, 3];
const [n] = foo;
console.log(n);</code></pre>

<p>
        What does the previous code print to the screen?
</p>",,
4,Arrays 04 (Q83),multiple_choice,,2,1,text,"<code class=""language-javascript"">1</code>",,1
4,Arrays 04 (Q83),multiple_choice,,2,2,text,"<code class=""language-javascript"">undefined</code>",,
4,Arrays 04 (Q83),multiple_choice,,2,3,text,"<code class=""language-javascript"">NaN</code>",,
4,Arrays 04 (Q83),multiple_choice,,2,4,text,This is not proper JavaScript syntax and an error is thrown.,,
4,Arrays 04 (Q83),multiple_choice,,3,1,text,"<p class=""subtitle"">Resource(s):</p>

<ul>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Operators/Destructuring_assignment"" target=""_blank"" rel=""noopener noreferrer"">
            Destructuring assignment</a>.
        </li>
</ul>",,
5,Arrays 05 (Q85),multiple_choice,,1,1,text,"<p>
        What is the difference between the <code class=""language-javascript"">map()</code> and the <code class=""language-javascript"">forEach()</code> methods on the Array prototype?
</p>",,
5,Arrays 05 (Q85),multiple_choice,,2,1,text,"The <code class=""language-javascript"">forEach()</code> method returns a new array with a transformation applied on each item in the original array,
          whereas the <code class=""language-javascript"">map()</code> method iterates through an array with no return value.",,
5,Arrays 05 (Q85),multiple_choice,,2,2,text,"The <code class=""language-javascript"">forEach()</code> method returns a single output value,
          whereas the <code class=""language-javascript"">map()</code> method performs operation on each value in the array.",,
5,Arrays 05 (Q85),multiple_choice,,2,3,text,"The <code class=""language-javascript"">map()</code> method returns a new array with a transformation applied on each item in the original array,
          whereas the <code class=""language-javascript"">forEach()</code> method iterates through an array with no return value.",,
5,Arrays 05 (Q85),multiple_choice,,2,4,text,None of the other solutions.,,1
5,Arrays 05 (Q85),multiple_choice,,3,1,text,"<p class=""subtitle"">Explanation</p>

<p>
        The following answer is almost right:
        <i>
          The <code class=""language-javascript"">map()</code> method returns a new array with a transformation applied on each item in the original array,
          whereas the <code class=""language-javascript"">forEach()</code> method iterates through an array with no return value.
        </i>
</p>

<p>
        Almost, because the <code class=""language-javascript"">forEach()</code> method, like every other methods in JavaScript, does return a value.
        In this case, it returns the primitive value <code class=""language-javascript"">undefined</code>.
</p>

<p class=""subtitle"">Resource(s):</p>

<ul>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/map"" target=""_blank"" rel=""noopener noreferrer"">
            Array.prototype.map()</a>.
        </li>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/forEach"" target=""_blank"" rel=""noopener noreferrer"">
            Array.prototype.forEach()</a>.
        </li>
</ul>",,
6,Arrays 06 (Q90),multiple_choice,,1,1,text,"<pre><code class=""language-javascript"">let rainForests = ['Amazon', 'Borneo', 'Cerrado', 'Congo'];
rainForests.splice(0, 2);
console.log(rainForests);</code></pre>

<p>
        What does the previous code print to the screen?
</p>",,
6,Arrays 06 (Q90),multiple_choice,,2,1,text,"<code class=""language-javascript"">[""Amazon"",""Borneo"",""Cerrado"",""Congo""]</code>",,
6,Arrays 06 (Q90),multiple_choice,,2,2,text,"<code class=""language-javascript"">[""Cerrado"", ""Congo""]</code>",,1
6,Arrays 06 (Q90),multiple_choice,,2,3,text,"<code class=""language-javascript"">[""Congo""]</code>",,
6,Arrays 06 (Q90),multiple_choice,,2,4,text,"<code class=""language-javascript"">[""Amazon"",""Borneo""]</code>",,
6,Arrays 06 (Q90),multiple_choice,,3,1,text,"<p class=""subtitle"">Resource(s):</p>

<ul>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/splice"" target=""_blank"" rel=""noopener noreferrer"">
            Array.prototype.splice()</a>.
        </li>
</ul>",,
7,Arrays 07 (Q91),multiple_choice,,1,1,text,"<pre><code class=""language-javascript"">const numbers = [1, 2, 3, 4, 5];
//MISSING LINE</code></pre>

<p>
        Which missing line would allow you to create five variables
        (<code class=""language-javascript"">one</code>,
        <code class=""language-javascript"">two</code>,
        <code class=""language-javascript"">three</code>,
        <code class=""language-javascript"">four</code>,
        <code class=""language-javascript"">five</code>) that correspond to their numerical values
        (<code class=""language-javascript"">1</code>,
        <code class=""language-javascript"">2</code>,
        <code class=""language-javascript"">3</code>,
        <code class=""language-javascript"">4</code>,
        <code class=""language-javascript"">5</code>)?
</p>",,
7,Arrays 07 (Q91),multiple_choice,,2,1,text,"<code class=""language-javascript"">const [one, two, three, four, five] = numbers;</code>",,1
7,Arrays 07 (Q91),multiple_choice,,2,2,text,"<code class=""language-javascript"">const { one, two, three, four, five } = numbers;</code>",,
7,Arrays 07 (Q91),multiple_choice,,2,3,text,"<code class=""language-javascript"">const [one, two, three, four, five] = [numbers];</code>",,
7,Arrays 07 (Q91),multiple_choice,,2,4,text,"<code class=""language-javascript"">const { one, two, three, four, five } = { numbers };</code>",,
7,Arrays 07 (Q91),multiple_choice,,3,1,text,"<p class=""subtitle"">Resource(s):</p>


<ul>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Operators/Destructuring_assignment"" target=""_blank"" rel=""noopener noreferrer"">
            Destructuring assignment</a>.
        </li>
</ul>",,
8,Arrays 08 (Q93),multiple_choice,,1,1,text,"<pre><code class=""language-javascript"">let animals = ['jaguar', 'eagle'];
// Missing Line
console.log(animals.pop()); // Prints 'jaguar'</code></pre>

<p>
        Which line could you add to the previous code to print <code class=""language-javascript"">'jaguar'</code> to the console?
</p>",,
8,Arrays 08 (Q93),multiple_choice,,2,1,text,"<code class=""language-javascript"">animals.filter(e => e === ""jaguar"");</code>",,
8,Arrays 08 (Q93),multiple_choice,,2,2,text,"<code class=""language-javascript"">animals.reverse();</code>",,
8,Arrays 08 (Q93),multiple_choice,,2,3,text,"<code class=""language-javascript"">animals.shift();</code>",,
8,Arrays 08 (Q93),multiple_choice,,2,4,text,"<code class=""language-javascript"">animals.pop();</code>",,1
8,Arrays 08 (Q93),multiple_choice,,3,1,text,"<p class=""subtitle"">Resource(s):</p>

<ul>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/pop"" target=""_blank"" rel=""noopener noreferrer"">
            Array.prototype.pop()</a>.
        </li>
</ul>",,
9,Arrays 09 (Q96),multiple_choice,,1,1,text,"<pre><code class=""language-javascript"">let matrix = [['You','Can'],['Do','It'],['!','!','!']];</code></pre>

<p>
        How would you access the word <code class=""language-javascript"">'It'</code> from this multidimensional array?
</p>",,
9,Arrays 09 (Q96),multiple_choice,,2,1,text,"<code class=""language-javascript"">matrix[2][2]</code>",,
9,Arrays 09 (Q96),multiple_choice,,2,2,text,"<code class=""language-javascript"">matrix[1][1]</code>",,1
9,Arrays 09 (Q96),multiple_choice,,2,3,text,"<code class=""language-javascript"">matrix[1,2]</code>",,
9,Arrays 09 (Q96),multiple_choice,,2,4,text,"<code class=""language-javascript"">matrix[1][2]</code>",,
9,Arrays 09 (Q96),multiple_choice,,3,1,text,"<p class=""subtitle"">Resource(s):</p>

<ul>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array"" target=""_blank"" rel=""noopener noreferrer"">
            Array</a>.
        </li>
</ul>",,
10,Arrays 10 (Q97),multiple_choice,,1,1,text,"<pre><code class=""language-javascript"">const animals = ['Rabbit', 'Dog', 'Cat'];
animals.unshift('Lizard');</code></pre>
      
<p>
        What does the previous code do?
</p>",,
10,Arrays 10 (Q97),multiple_choice,,2,1,text,"It adds <code class=""language-javascript"">'Lizard'</code> to the start of the <code class=""language-javascript"">animals</code> array.",,1
10,Arrays 10 (Q97),multiple_choice,,2,2,text,"It adds <code class=""language-javascript"">'Lizard'</code> to the end of the <code class=""language-javascript"">animals</code> array.",,
10,Arrays 10 (Q97),multiple_choice,,2,3,text,"It replaces <code class=""language-javascript"">'Rabbit'</code> with <code class=""language-javascript"">'Lizard'</code> in the <code class=""language-javascript"">animals</code> array.",,
10,Arrays 10 (Q97),multiple_choice,,2,4,text,"It replaces <code class=""language-javascript"">'Cat'</code> with <code class=""language-javascript"">'Lizard'</code> in the <code class=""language-javascript"">animals</code> array.",,
10,Arrays 10 (Q97),multiple_choice,,3,1,text,"<p class=""subtitle"">Resource(s):</p>

<ul>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/unshift"" target=""_blank"" rel=""noopener noreferrer"">
            Array.prototype.unshift()</a>.
        </li>
</ul>",,
11,"Arrays 11 (Q103, Q121)",multiple_choice,,1,1,text,"<pre><code class=""language-javascript"">const arr1 = [2, 4, 6];
const arr2 = [3, 5, 7];

console.log([...arr1, ...arr2]);</code></pre>

<p>
        What does the previoux code print to the screen?
</p>",,
11,"Arrays 11 (Q103, Q121)",multiple_choice,,2,1,text,"<code class=""language-javascript"">[2, 3, 4, 5, 6, 7]</code>",,
11,"Arrays 11 (Q103, Q121)",multiple_choice,,2,2,text,"<code class=""language-javascript"">[3, 5, 7, 2, 4, 6]</code>",,
11,"Arrays 11 (Q103, Q121)",multiple_choice,,2,3,text,"<code class=""language-javascript"">[[2, 4, 6], [3, 5, 7]]</code>",,
11,"Arrays 11 (Q103, Q121)",multiple_choice,,2,4,text,"<code class=""language-javascript"">[2, 4, 6, 3, 5, 7]</code>",,1
11,"Arrays 11 (Q103, Q121)",multiple_choice,,3,1,text,"<p class=""subtitle"">Resource(s):</p>

<ul>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Operators/Spread_syntax"" target=""_blank"" rel=""noopener noreferrer"">
            Spread syntax (...)</a>.
        </li>
</ul>",,
12,Arrays 12 (Q105),multiple_choice,,1,1,text,"<p>
        Which choice is not an array method?
</p>",,
12,Arrays 12 (Q105),multiple_choice,,2,1,text,"<code class=""language-javascript"">array.slice()</code>",,
12,Arrays 12 (Q105),multiple_choice,,2,2,text,"<code class=""language-javascript"">array.shift()</code>",,
12,Arrays 12 (Q105),multiple_choice,,2,3,text,"<code class=""language-javascript"">array.push()</code>",,
12,Arrays 12 (Q105),multiple_choice,,2,4,text,"<code class=""language-javascript"">array.replace()</code>",,1
12,Arrays 12 (Q105),multiple_choice,,3,1,text,"<p class=""subtitle"">Resource(s):</p>

<ul>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array"" target=""_blank"" rel=""noopener noreferrer"">
            Array</a>.
        </li>
</ul>",,
13,Arrays 13 (Q109),multiple_choice,,1,1,text,"<pre><code class=""language-javascript"">const myNumbers = [1, 2, 3, 4, 5, 6, 7];
const myFunction = (arr) => {
  return arr.map((x) => x + 3).filter((x) => x &lt; 7);
};
console.log(myFunction(myNumbers));</code></pre>

<p>
        What does the previous code print to the screen?
</p>",,
13,Arrays 13 (Q109),multiple_choice,,2,1,text,"<code class=""language-javascript"">[4, 5, 6, 7, 8, 9, 10]</code>",,
13,Arrays 13 (Q109),multiple_choice,,2,2,text,"<code class=""language-javascript"">[4, 5, 6, 7]</code>",,
13,Arrays 13 (Q109),multiple_choice,,2,3,text,"<code class=""language-javascript"">[1, 2, 3, 4, 5, 6]</code>",,
13,Arrays 13 (Q109),multiple_choice,,2,4,text,"<code class=""language-javascript"">[4, 5, 6]</code>",,1
13,Arrays 13 (Q109),multiple_choice,,3,1,text,"<p class=""subtitle"">Resource(s):</p>

<ul>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/map"" target=""_blank"" rel=""noopener noreferrer"">
            Array.prototype.map()</a>.
        </li>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/filter"" target=""_blank"" rel=""noopener noreferrer"">
            Array.prototype.filter()</a>.
        </li>
</ul>",,
14,Arrays 14 (Q111),multiple_choice,,1,1,text,"<pre><code class=""language-javascript"">let cipherText = [...'YZOGUT QGMORTZ MTRHTILS'];
let plainText = '';

/* Missing Snippet */

console.log(plainText); // YOU GOT THIS</code></pre>

<p>
        Which snippet could you add to the previous code to print <code class=""language-javascript"">""YOU GOT THIS""</code> to the console?
</p>",,
14,Arrays 14 (Q111),multiple_choice,,2,1,text,"<pre><code class=""language-javascript"">for (let key of cipherText.keys()) {
  plainText += key % 2 === 0 ? key : ' ';
}</code></pre>",,
14,Arrays 14 (Q111),multiple_choice,,2,2,text,"<pre><code class=""language-javascript"">for (let [index, value] of cipherText.entries()) {
  plainText += index % 2 !== 0 ? value : '';
}</code></pre>",,
14,Arrays 14 (Q111),multiple_choice,,2,3,text,"<pre><code class=""language-javascript"">for (let [index, value] of cipherText.entries()) {
  plainText += index % 2 === 0 ? value : '';
}</code></pre>",,1
14,Arrays 14 (Q111),multiple_choice,,2,4,text,"<pre><code class=""language-javascript"">for (let value of cipherText) {
  plainText += value;
}</code></pre>",,
14,Arrays 14 (Q111),multiple_choice,,3,1,text,"<p class=""subtitle"">Resource(s):</p>

<ul>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/entries"" target=""_blank"" rel=""noopener noreferrer"">
            Array.prototype.entries()</a>.
        </li>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Iterator"" target=""_blank"" rel=""noopener noreferrer"">
            Iterator</a>.
        </li>
</ul>",,
15,Arrays 15 (Q112),multiple_choice,,1,1,text,"<pre><code class=""language-javascript"">const pokedex = [
  'Snorlax',
  'Jigglypuff', 
  'Charmander',
  'Squirtle'
];
pokedex.pop();
console.log(pokedex.pop());</code></pre>

<p>
        Which Pokemon does the previous code print to the screen?
</p>",,
15,Arrays 15 (Q112),multiple_choice,,2,1,text,"<code class=""language-javascript"">'Snorlax'</code>",,
15,Arrays 15 (Q112),multiple_choice,,2,2,text,"<code class=""language-javascript"">'Jigglypuff'</code>",,
15,Arrays 15 (Q112),multiple_choice,,2,3,text,"<code class=""language-javascript"">'Charmander'</code>",,1
15,Arrays 15 (Q112),multiple_choice,,2,4,text,"<code class=""language-javascript"">'Squirtle'</code>",,
15,Arrays 15 (Q112),multiple_choice,,3,1,text,"<p class=""subtitle"">Resource(s):</p>


<ul>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/pop"" target=""_blank"" rel=""noopener noreferrer"">
            Array.prototype.pop()</a>.
        </li>
</ul>",,
16,Arrays 16 (Q117),multiple_choice,,1,1,text,"<pre><code class=""language-javascript"">let animals = ['eagle', 'osprey', 'salmon'];
let key = animal => animal === 'salmon';

if(/* Insert Snippet Here */){
console.log('swim');
}></code></pre>

<p>
        Which snippet could you insert to the previous code to print <code class=""language-javascript"">'swim'</code> to the console?
</p>",,
16,Arrays 16 (Q117),multiple_choice,,2,1,text,"<code class=""language-javascript"">animals.every(key)</code>",,
16,Arrays 16 (Q117),multiple_choice,,2,2,text,"<code class=""language-javascript"">animals.some(key).length === 1</code>",,
16,Arrays 16 (Q117),multiple_choice,,2,3,text,"<code class=""language-javascript"">animals.filter(key) === true</code>",,
16,Arrays 16 (Q117),multiple_choice,,2,4,text,"<code class=""language-javascript"">animals.some(key)</code>",,1
16,Arrays 16 (Q117),multiple_choice,,3,1,text,"<p class=""subtitle"">Resource(s):</p>

<ul>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/every"" target=""_blank"" rel=""noopener noreferrer"">
            Array.prototype.every()</a>.
        </li>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/filter"" target=""_blank"" rel=""noopener noreferrer"">
            Array.prototype.filter()</a>.
        </li>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/some"" target=""_blank"" rel=""noopener noreferrer"">
            Array.prototype.some()</a>.
        </li>
</ul>",,
17,Arrays 17 (Q124),multiple_choice,,1,1,text,"<pre><code class=""language-javascript"">let scores = [];
scores.push(1, 2);
scores.pop();
scores.push(3, 4);
scores.pop();
score = scores.reduce((a, b) => a + b);
console.log(score);</code></pre>

<p>
        What does the previous code print to the screen?
</p>",,
17,Arrays 17 (Q124),multiple_choice,,2,1,text,"<code class=""language-javascript"">3</code>",,
17,Arrays 17 (Q124),multiple_choice,,2,2,text,"<code class=""language-javascript"">4</code>",,1
17,Arrays 17 (Q124),multiple_choice,,2,3,text,"<code class=""language-javascript"">6</code>",,
17,Arrays 17 (Q124),multiple_choice,,2,4,text,"<code class=""language-javascript"">7</code>",,
17,Arrays 17 (Q124),multiple_choice,,3,1,text,"<p class=""subtitle"">Resource(s):</p>

<ul>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/push"" target=""_blank"" rel=""noopener noreferrer"">
            Array.prototype.push()</a>.
        </li>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/pop"" target=""_blank"" rel=""noopener noreferrer"">
            Array.prototype.pop()</a>.
        </li>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/reduce"" target=""_blank"" rel=""noopener noreferrer"">
            Array.prototype.reduce()</a>.
        </li>
</ul>",,
18,Arrays 18 (Q135),multiple_choice,,1,1,text,"<pre><code class=""language-javascript"">let animals = [{ type: 'lion' }, 'tiger'];
let clones = animals.slice();

clones[0].type = 'bear';
clones[1] = 'sheep';

console.log(animals[0].type, clones[0].type);
console.log(animals[1], clones[1]);</code></pre>

<p>
        What does the previous code print to the screen?
</p>",,
18,Arrays 18 (Q135),multiple_choice,,2,1,text,"<code class=""language-javascript"">'bear' 'bear' 'tiger' 'sheep'</code>.",,1
18,Arrays 18 (Q135),multiple_choice,,2,2,text,"<code class=""language-javascript"">'lion' 'bear' 'sheep' 'sheep'</code>.",,
18,Arrays 18 (Q135),multiple_choice,,2,3,text,"<code class=""language-javascript"">'bear' 'bear' 'tiger' 'tiger'</code>.",,
18,Arrays 18 (Q135),multiple_choice,,2,4,text,"<code class=""language-javascript"">'lion' 'bear' 'tiger' 'sheep'</code>.",,
18,Arrays 18 (Q135),multiple_choice,,3,1,text,"<p class=""subtitle"">Explanation</p>

<p>
        On line 2, the method <code class=""language-javascript"">slice()</code> creates a shallow copy
        of <code class=""language-javascript"">animals</code>
        which is assigned to the variable <code class=""language-javascript"">clones</code>.
</p>

<p>
        <code class=""language-javascript"">animals[0]</code> and <code class=""language-javascript"">clones[0]</code> reference (or point to) the same object.
        In other words, any change of the object referenced by <code class=""language-javascript"">animals[0]</code> or <code class=""language-javascript"">clones[0]</code> will impact both arrays.
</p>

<p>
        On the other hand, <code class=""language-javascript"">animals[1]</code> and <code class=""language-javascript"">clones[1]</code> point to 2 different primitive values.
        So index 1 of an array can be reassigned a new value with no consequence on index 1 of the other array.
</p>

<p class=""subtitle"">Resource(s):</p>

<ul>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Glossary/Shallow_copy"" target=""_blank"" rel=""noopener noreferrer"">
            Shallow copy</a>.
        </li>
</ul>",,
19,Asynchronous 01 (Q6),multiple_choice,,1,1,text,"<pre><code class=""language-javascript"">setTimeout(function () {
  console.log('Pending');
}, 10000);

console.log('Results shown');</code></pre>

<p>
        In the previous code, when would <code class=""language-javascript"">'Results shown'</code> be printed to the screen?
</p>",,
19,Asynchronous 01 (Q6),multiple_choice,,2,1,text,"after 10 seconds and after <code class=""language-javascript"">'Pending'</code>",,
19,Asynchronous 01 (Q6),multiple_choice,,2,2,text,"after 10 seconds but before <code class=""language-javascript"">'Pending'</code>",,
19,Asynchronous 01 (Q6),multiple_choice,,2,3,text,"after 10000 seconds and after <code class=""language-javascript"">'Pending'</code>",,
19,Asynchronous 01 (Q6),multiple_choice,,2,4,text,"immediately and before <code class=""language-javascript"">'Pending'</code>",,1
19,Asynchronous 01 (Q6),multiple_choice,,3,1,text,"<p class=""subtitle"">Resource(s):</p>

<ul>
        <li>
          The <a href=""https://developer.mozilla.org/en-US/docs/Web/API/setTimeout"" target=""_blank"" rel=""noopener noreferrer"">setTimeout()</a> global function.
        </li>
        <li>
          <a href=""/js-blocking"" target=""_blank"" rel=""noopener noreferrer"">Blocking and non-blocking JavaScript</a>.
          <code class=""language-javascript"">setTimeout()</code> is a non-blocking (or asynchronous) function.
        </li>
</ul>",,
20,"Asynchronous 02 (Q58, Q73)",multiple_choice,,1,1,text,"<p>
        Why might you choose to make your code asynchronous?
</p>",,
20,"Asynchronous 02 (Q58, Q73)",multiple_choice,,2,1,text,to start tasks that might take some time without blocking subsequent tasks from executing immediately.,,1
20,"Asynchronous 02 (Q58, Q73)",multiple_choice,,2,2,text,to ensure that tasks further down in your code are not initiated until earlier tasks have completed.,,
20,"Asynchronous 02 (Q58, Q73)",multiple_choice,,2,3,text,to make your code faster.,,
20,"Asynchronous 02 (Q58, Q73)",multiple_choice,,2,4,text,It is not possible to make code asynchronous. Either it already is or it isn't. We have to deal with it as it is.,,
20,"Asynchronous 02 (Q58, Q73)",multiple_choice,,3,1,text,"<p class=""subtitle"">Resource(s):</p>

<ul>
        <li>
          <a href=""/js-blocking"" target=""_blank"" rel=""noopener noreferrer"">
            JavaScript: blocking and non-blocking functions</a>.
        </li>
</ul>",,
21,Asynchronous 03 (Q82),multiple_choice,,1,1,text,"<pre><code class=""language-javascript"">console.log('I');
setTimeout(() => {
  console.log('love');
}, 0);
console.log('JavaScript!');</code></pre>

<p>
        What does the previous code print to the screen?
</p>",,
21,Asynchronous 03 (Q82),multiple_choice,,2,1,text,"<pre><code class=""language-javascript"">I
JavaScript!
love</code></pre>",,1
21,Asynchronous 03 (Q82),multiple_choice,,2,2,text,"<pre><code class=""language-javascript"">love
I
JavaScript!</code></pre>",,
21,Asynchronous 03 (Q82),multiple_choice,,2,3,text,"<pre><code class=""language-javascript"">I
love
JavaScript!</code></pre>",,
21,Asynchronous 03 (Q82),multiple_choice,,2,4,text,The output may change with each execution of code and cannot be determined.,,
21,Asynchronous 03 (Q82),multiple_choice,,3,1,text,"<p class=""subtitle"">Resource(s):</p>

<ul>
        <li>
          The <a href=""https://developer.mozilla.org/en-US/docs/Web/API/setTimeout"" target=""_blank"" rel=""noopener noreferrer"">setTimeout()</a> global function.
        </li>
        <li>
          <a href=""/js-blocking"" target=""_blank"" rel=""noopener noreferrer"">Blocking and non-blocking JavaScript</a>.
          <code class=""language-javascript"">setTimeout()</code> is a non-blocking (or asynchronous) function.
        </li>
</ul>",,
22,Asynchronous 04 (Q104),multiple_choice,,1,1,text,"<p>
        Which method call is chained to handle a successful response returned by <code class=""language-javascript"">fetch()</code>?
</p>",,
22,Asynchronous 04 (Q104),multiple_choice,,2,1,text,"<code class=""language-javascript"">done()</code>",,
22,Asynchronous 04 (Q104),multiple_choice,,2,2,text,"<code class=""language-javascript"">then()</code>",,1
22,Asynchronous 04 (Q104),multiple_choice,,2,3,text,"<code class=""language-javascript"">finally()</code>",,
22,Asynchronous 04 (Q104),multiple_choice,,2,4,text,"<code class=""language-javascript"">catch()</code>",,
22,Asynchronous 04 (Q104),multiple_choice,,3,1,text,"<p class=""subtitle"">Resource(s):</p>

<ul>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Web/API/Fetch_API"" target=""_blank"" rel=""noopener noreferrer"">
            Fetch API</a>.
        </li>
</ul>",,
23,Expressions and operators 01 (Q1),multiple_choice,,1,1,text,"<p>
      Which operator returns <code class=""language-javascript"">true</code> if the two compared values are not equal?
</p>",,
23,Expressions and operators 01 (Q1),multiple_choice,,2,1,text,"<code class=""language-javascript"">&lt;&gt;</code>",,
23,Expressions and operators 01 (Q1),multiple_choice,,2,2,text,"<code class=""language-javascript"">~</code>",,
23,Expressions and operators 01 (Q1),multiple_choice,,2,3,text,"<code class=""language-javascript"">==!</code>",,
23,Expressions and operators 01 (Q1),multiple_choice,,2,4,text,"<code class=""language-javascript"">!==</code>",,1
